uuid|name|description|Account uuid|Status uuid|Creation date
29cc3585-e632-4e69-be1a-e0f1d7bfb676|Licenses|Prior to the release of Mosaic,|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-21
ab1280f9-d7da-4248-8564-b17fed484308|Operational|a typical Web page, the HTML|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-02-19
f286c752-6109-4ee7-924a-a7874efbbb27|Customers|"at ""info.cern.ch""[citation needed] and"|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-03-01
e7a2de29-927f-43ab-861c-6db7e53b685b|Staff|"  The phrase ""surfing the"|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-03-24
25ed3af2-f11b-4f75-a958-0679d3b6d18a|Customer Service|exchange to appear on Earth. It has probably|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-04-01
3799be4a-bc11-4b1f-af03-a862d94a1bd5|Organizational|different from the|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-04-11
790b1b43-279d-479a-99c8-5ba8bc4a7b7b|Research & Development|sent back to requesting users, so that pages|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-04-16
2e4e6e27-ee90-4a5a-b0fa-f80731014e2e|Market Development|is possible for designers of dynamically generated web|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-05
d312e301-9103-4326-93b8-fd3114264e00|Business Development|first called the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-15
f128a118-554f-4862-8578-ed104e3f589e|Management|not use physical resources in the way that|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-27
ae1a6cf6-d945-4f48-a821-085895c3965d|Engineering|used as a platform and language|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-28
4255f837-45f0-42f4-9a0e-452a4a766875|Supply Chain Mgt./Logistics|librarian, in an article called|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-29
c6a46e43-9f2f-46a6-bb7e-e49f0c1a6182|Faculty of Architecture and History of Art|if it has been updated since the|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-11
34f9ff89-bde6-4801-b32a-804c5093b44b|Department of Architecture|of the name is the closest to normal|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-19
7d86919d-9211-4561-b8e1-e0253ec05f72|Department of History of Art|in turn) is not constrained by movement|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-24
3cb88247-1743-4f80-b56c-9835407a870b|Faculty of Asian and Middle Eastern Studies|of the most well-known efforts;|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-01
2ffe00fa-ac21-483d-9f1c-be7c521003fb|Department of East Asian Studies|was also used verbally in the hacker community|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-18
79ed5ffd-4465-4e56-9413-3f60095eba10|Department of Middle Eastern Studies|of Berners-Lee's next project after|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-08-25
973f5b0d-be1d-40bb-8ced-5424674c68f2|Faculty of Classics|of the links will be invalidated over|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-09-25
54add4ba-1f2f-4b24-b8f6-3580a5355771|Museum of Classical Archaeology|probably allowed many of its users|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-04
5a841f6a-133b-4553-888c-f807062aaa99|Faculty of Divinity|massive potential for social exchange,|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-29
4e411cfe-3bf7-4a31-8205-8c2b670ac1db|Faculty of English|as an important aspect of what is being|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-25
00da3f4a-5f9a-45cd-8e9b-e77e881b9810|Department of Anglo-Saxon, Norse and Celtic|Web site to another|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-26
d33a46d1-85aa-4015-976e-70887673843f|Faculty of Modern and Medieval Languages|of typed URLs if no host|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-31
e93c1190-a552-4341-8360-3918afd0d073|Department of French|Both Nelson and|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-03
a6cbd5f0-590b-41e7-ae4c-72a53539c805|Department of German & Dutch|fact that many computers at|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-22
790f0501-380d-4bd9-89a8-c8d1a309b04b|Department of Italian|proposal for the World Wide Web on November|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-26
78584892-4f5a-45bb-8b6e-bb5f1fd659bd|Department of Slavonic Studies|be the Semantic Web where|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-03-02
a2a59a85-d802-4ad5-a259-041d6b983380|Department of Spanish and Portuguese|to control the HTTP headers sent back|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-04-10
a462b78a-3004-4b84-83d9-d2d1d08e0f21|Department of Theoretical and Applied Linguistics|of the ideas of Berners-Lee's next project|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-04-23
ed9018fc-9db0-447d-8374-d2505bc376b3|Modern Greek|to empower demagogues and|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-01
a812e8a2-c3a2-4357-bbc8-b74db49c933d|Neo-Latin|server and also to write the first web|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-11
4d7c88cf-e1dd-44da-bc48-fc289f62c1bb|Faculty of Music|through a publisher|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-21
f9fab16d-6bc2-4c7e-b5b4-dbff5ff99820|Faculty of Philosophy|If the user agent is|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-30
016fc14c-416e-4e54-9e10-50112b75a2c9|Centre for Research in Arts, Humanities and Social Sciences|This use of host or subdomain names|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-03
3a4dc335-0cb2-4410-85f2-ade385c92045|Language Centre|as necessary. This produces|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-12
972e9639-53b8-49f8-ace0-cc03427fc8ad|Department of Politics and International Studies:|requests for graphics and any other|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-06-24
a76022c2-d2cc-49eb-ab04-24b9d80bf9b1|Centre of African Studies|applets run on|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-11
9f141170-d90c-4a07-8386-f2fcc273d9e2|Centre of Development Studies|(with a hyphen, this version of the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-16
4ac9d90f-6500-41b2-9e8c-eabdfa725827|Centre for Gender Studies|hyperlinks in each web|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-08-06
2af75f2b-f2f5-4645-b3d2-6dcd9f9cb34b|Centre of Latin American Studies|runs over the Internet.|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-09-06
3bac1dbc-7994-4d68-8022-09c4527b34a0|Centre of South Asian Studies|from beginning to end. It is not|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-19
3597a1b8-280e-43b8-9a6c-34c49ee7d3ec|Department of Sociology|of information. Making it available|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-24
b01bff1e-833d-4eea-ae57-8f88419ab52f|Bible School and Seminary Training|computers at the time were|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-10
8378b905-00ea-404c-a1ee-6eb79fe1567f|Bible Translation|foreign country or a remote town,|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-16
44f16ad2-a69d-4ea3-9a39-1cdf51933fdb|Camp Ministry|small shops, etc., facilitated by the emergence|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-23
a7e09eed-fa22-4e5d-8054-eca65a106bde|Campus Ministry|fondness for CamelCase) or the|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-18
3c5909f4-0956-4e6e-b5f7-66094c505afe|Children's Ministry|Upon Everything, a book|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-27
ea1a4c7d-416c-412c-91fb-108befb351c0|Christian Education|1980, when, at|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-29
25079dcd-18c0-4e61-bb6c-bfca69e6998d|Church Planting|which then makes additional requests for graphics|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-03
5bd3cfd5-c49a-4754-9afc-34f4e85f8faa|Evangelism & Discipleship|when physical files have|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-04
6555602f-54f7-430b-865a-06dcb7db3dc1|Leadership Training|of chapters, sections, subsections, etc.   |C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-10
d45ddf0a-532d-48d3-a371-f6fe18fc9bd1|Men's Ministry|physical volumes, or by|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-01-26
f68c2f11-8eac-47f0-8309-3c65a9fb72e4|Missions Mobilization|technology was Sun Microsystems'|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-02-13
c9843e65-1487-47a1-8425-8914833af872|Short-term Coordination|hyperlinks. It is also|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-03-06
dc3aa83d-2d00-4323-a8d2-7f328428ea9a|Sports|1989, Tim Berners-Lee wrote Information Management: A|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-03-21
4701990c-0455-49bf-b205-379cd554559e|Vision Trip|World Wide Web project on the|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-04
7de2eff5-1f87-4691-92f2-fa82c8d12ea0|Women's Ministry|physical travel or by way of mail,|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-16
60eed326-5703-4777-82cc-b52c18701af0|Youth Ministry|  JavaScript, on the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-05-29
f3160fa2-ad7a-43c7-8e68-c3a09f0e652e|Accident and Emergency|was no longer free to use, this produced|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-03
105d06cb-d8e7-4993-a978-f9b264ff8151|Anaesthetics|reduce page download times|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-16
ebdc2925-a5a4-4e19-85df-12d0089a39cb|Cardiology| The Web browser|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-20
a17d85a5-1597-4d9a-afd7-0b59ad0b769c|Chaplaincy|advice, artwork, photographs, literature, can|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-07-23
4bbd6838-541a-4d8e-b7ad-b199bd3a7be4|Critical Care|step, behind the scenes, is for|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-08-15
ad65b895-2027-4a19-9591-cd51aaa5448e|Diagnostic Imaging|interact with many more groups of people,|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-08-20
b499bdc3-bd6b-43c4-a1c9-6b77cadbe771|Discharge Lounge|physical resources in the way that libraries|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-08-26
387e14a3-f31c-4dad-ab90-1c6147005c9c|Pediatric intensive care unit|apart from that, like|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-10-31
054c6a21-2847-45b1-9319-7ca06c0ecd85|Hospital pharmacy|the existence and use of the Web|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-08
15ad8bde-bb7f-4206-a877-0f92ea2721b6|Physical therapy|standardized version is ECMAScript. While its|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-23
173ba993-e486-4108-a7ee-d7cd287231d1|Post-anesthesia care unit|developed by Marc Andreessen. Prior|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-24
c53cfc67-07be-4ae1-bcdf-c795a07dc42a|Neonatal intensive care unit|Wide Web, however,|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-11-27
5d284d04-06de-4203-a446-e42a775202ee|Psychiatric hospital|older protocols in|C6D5BA33-C95E-BCC3-D951-2A099E5F9230|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-08
f43311f4-8db9-4215-8b53-2dd88f1d02cd|Medical records department|creators originally envisioned. The manipulation of a page's|8038D870-5455-A2D6-18A9-BD5FA1D0A10A|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-28
90156930-3a58-4457-9959-f192c8964f34|Mental health Emergency Rooms|contains two or three times as many|C937CE62-C4A9-131F-C96E-2DB8A9E886AB|396F2C7F-961C-5C12-3ABF-867E7FD029E6|2014-12-29
